edad_meses,dominio,odds_ratio,p_value,ci_lower,ci_upper,significativo
27.0,Motricidad Gruesa,0.16536107711138312,0.00011290642956406487,0.051929593411480235,0.5265646046323889,True
27.0,Motricidad Fina,0.2346087230357424,0.029750567400054752,0.05716161912869205,0.9629057707505342,True
27.0,Resolución de Problemas,0.42167441860465116,0.20778376030978724,0.13145909171762568,1.3525828680416054,False
27.0,Desarrollo Socio-Individual,0.4329012581014106,0.20467006932654203,0.1349156661277229,1.3890417965870008,False
30.0,Riesgo Global,0.556336690100703,0.04173790278766899,0.3165626865001056,0.9777226626869125,True
30.0,Comunicación,1.8407407407407408,0.18516297296243256,0.820870490199242,4.12772357525041,False
30.0,Motricidad Gruesa,0.27924066135946113,0.005900783153518964,0.10108867059730609,0.7713559441996186,True
30.0,Motricidad Fina,0.44541871921182263,0.2018302314616897,0.13850623516303612,1.432410859993168,False
30.0,Resolución de Problemas,0.16677602799650043,0.038842295922747946,0.022984113680340004,1.2101507981176172,True
30.0,Desarrollo Socio-Individual,0.7335010180859983,0.8161289492455088,0.26321502201839736,2.044046496311259,False
33.0,Riesgo Global,0.652160953800298,0.11574810940828541,0.389542416722215,1.0918295194667036,False
33.0,Comunicación,1.3652747252747253,0.4549922343486968,0.5788847150641321,3.2199417724606443,False
33.0,Motricidad Gruesa,0.951711229946524,1.0,0.5185265377477333,1.7467847820104845,False
33.0,Motricidad Fina,0.3976127320954907,0.15096473413093964,0.12393844882898002,1.275599995144312,False
33.0,Resolución de Problemas,0.3050030138637734,0.08417391087989237,0.07408722099515815,1.25563946408605,False
33.0,Desarrollo Socio-Individual,0.31305958629206543,0.12002694963381139,0.07602437268973292,1.2891432194953836,False
36.0,Riesgo Global,1.5821423888816049,0.02975643828279315,1.0548305935565423,2.373058341298302,True
